jn	abs	pmid
283. Vet Res. 2013 Dec 1;44:112. doi: 10.1186/1297-9716-44-112.	 Different evolutionary trends of swine H1N2 influenza viruses in Italy compared to European viruses.  Moreno A(1), Gabanelli E, Sozzi E, Lelli D, Chiapponi C, Ciccozzi M, Zehender G,  Cordioli P.  Author information:  (1)Department of Virology, Istituto Zooprofilattico Sperimentale della Lombardia  ed Emilia Romagna, Via Bianchi, 9, 25124 Brescia, Italy. anamaria.morenomartin@izsler.it.  European H1N2 swine influenza viruses (EU H1N2SIVs) arose from multiple reassortment events among human H1N1, human H3N2, and avian influenza viruses. We investigated the evolutionary dynamics of 53 Italian H1N2 strains by comparing them with EU H1N2 SIVs. Hemagglutinin (HA) phylogeny revealed Italian strains fell into four groups: Group A and B (41 strains) had a human H1 similar to EU H1N2SIVs, which probably originated in 1986. However Group B (38 strains) formed  a subgroup that had a two-amino acid deletion at positions 146/147 in HA. Group C (11 strains) contained an avian H1 that probably originated in 1996, and Group D  (1 strain) had an H1 characteristic of the 2009 pandemic strain. Neuraminidase (NA) phylogeny suggested a series of genomic reassortments had occurred. Group A  had an N2 that originated from human H3N2 in the late 1970s. Group B had different human N2 that most likely arose from a reassortment with the more recent human H3N2 virus, which probably occurred in 2000. Group C had an avian-like H1 combined with an N2 gene from one of EU H1N2SIVs, EU H3N2SIVs or Human H3N2. Group D was part of the EU H3N2SIVs clade. Although selection pressure for HA and NA was low, several positively selected sites were identified in both proteins, some of which were antigenic, suggesting selection influenced the evolution of SIV. The data highlight different evolutionary trends between European viruses and currently circulating Italian B strains and show the establishment of reassortant strains involving human viruses in Italian pigs.  DOI: 10.1186/1297-9716-44-112  PMCID: PMC4176092	24289094
284. Influenza Other Respir Viruses. 2013 Dec;7 Suppl 4:16-20. doi: 10.1111/irv.12198.	 Epidemiological survey of swine influenza A virus in the wild boar population of  two Italian provinces.  Foni E(1), Garbarino C, Chiapponi C, Baioni L, Zanni I, Cordioli P.  Author information:  (1)OIE Reference Laboratory for Swine Influenza, Istituto Zooprofilattico Sperimentale della Lombardia ed Emilia Romagna, Parma, Italy.  OBJECTIVES: An epidemiological survey was carried out in order to obtain a better understanding of the role of wild boars in the epidemiology of the influenza virus. DESIGN: The samples were submitted to Real-Time PCR testing for gene M of the swine influenza virus (SIV), and virus isolation was performed from the positive  PCR samples. Genome sequence analysis was performed on the isolates. Additionally, 1,977 boar sera samples were analyzed using ELISA and hemoagglutination inhibition. SETTING: Over recent years, the wild boar population has greatly increased in Italy, including in areas of high-density industrial pig farming, where the influenza virus is widespread. From July to December 2012, wild boar lung samples were collected in the Parma and Piacenza area, in the Emilia Romagna region. SAMPLE: 354 wild boar lung samples were collected. MAIN OUTCOME MEASURES: Wild-boar influenza A virus infection should be studied more broadly in order to obtain a better understanding of the epidemiological role played by this species. RESULTS: Three SIV strains were isolated out of 12 samples that resulted positive using PCR analysis and they were identified as avian-like SIV subtype H1N1. Phylogenetic analysis of the sequences obtained from isolate A/wild boar/291320/2012 showed that it clustered with recent Italian avian-like H1N1 SIVs isolated from domestic pigs. Sixty-eight sera samples showed a positive titer to the isolate A/wild boar/291320/2012. CONCLUSIONS: This study suggests that SIV actively circulates in the wild boar population in the investigated. area.  © 2013 Blackwell Publishing Ltd.  DOI: 10.1111/irv.12198  PMCID: PMC5655886	24224815
285. Viruses. 2013 Oct 31;5(11):2679-89. doi: 10.3390/v5112679.	 Detection of coronaviruses in bats of various species in Italy.  Lelli D(1), Papetti A, Sabelli C, Rosti E, Moreno A, Boniotti MB.  Author information:  (1)Istituto Zooprofilattico Sperimentale della Lombardia e dell'Emilia Romagna, Via Bianchi 9, Brescia 25124, Italy. davide.lelli@izsler.it.  Bats are natural reservoirs for many mammalian coronaviruses, which have received renewed interest after the discovery of the severe acute respiratory syndrome (SARS) and the Middle East respiratory syndrome (MERS) CoV in humans. This study  describes the identification and molecular characterization of alphacoronaviruses and betacoronaviruses in bats in Italy, from 2010 to 2012. Sixty-nine faecal samples and 126 carcasses were tested using pan-coronavirus RT-PCR. Coronavirus RNAs were detected in seven faecal samples and nine carcasses. A phylogenetic analysis of RNA-dependent RNA polymerase sequence fragments aided in identifying  two alphacoronaviruses from Kuhl's pipistrelle (Pipistrellus kuhlii), three clade 2b betacoronaviruses from lesser horseshoe bats (Rhinolophus hipposideros), and 10 clade 2c betacoronaviruses from Kuhl's pipistrelle, common noctule (Nyctalus noctula), and Savi's pipistrelle (Hypsugo savii). This study fills a substantive  gap in the knowledge on bat-CoV ecology in Italy, and extends the current knowledge on clade 2c betacoronaviruses with new sequences obtained from bats that have not been previously described as hosts of these viruses.  DOI: 10.3390/v5112679  PMCID: PMC3856409	24184965
286. J Virol Methods. 2014 Feb;196:71-81. doi: 10.1016/j.jviromet.2013.10.031. Epub	2013 Oct 31.  Rapid molecular haemagglutinin subtyping of avian influenza isolates by specific  real-time RT-PCR tests.  Elizalde M(1), Agüero M(2), Buitrago D(2), Yuste M(1), Arias ML(1), Muñoz MJ(1),  Lelli D(3), Pérez-Ramírez E(1), Moreno-Martin AM(3), Fernández-Pinero J(4).  Author information:  (1)Centro de Investigación en Sanidad Animal (CISA-INIA), Valdeolmos, 28130 Madrid, Spain. (2)Laboratorio Central de Veterinaria (LCV), Algete, Madrid, Spain. (3)Istituto Zooprofilattico Sperimentale della Lombardia e dell'Emilia Romagna (IZSLER), Via Bianchi 9, 25124 Brescia, Italy. (4)Centro de Investigación en Sanidad Animal (CISA-INIA), Valdeolmos, 28130 Madrid, Spain. Electronic address: fpinero@inia.es.  Sixteen haemagglutinin (HA) subtypes of avian influenza viruses (AIV) have been described to date. Rapid subtype identification of any AIV is of major interest because of the possible serious consequences for the poultry industry and even public health. Molecular techniques currently allow immediate accurate subtype characterisation prior to virus isolation. In this study, a set of fourteen specific real-time RT-PCR methods were developed and evaluated for AIV HA subtyping (H1-H4, H6-H8, H10-H16), H5 and H9 being excluded on the basis of the current validity of the European Union (EU) recommended specific assays. Specific primers and probes sets for each HA-subtype were designed to hybridise the largest isolates range within each single subtype, considering the Eurasian lineage as a major target. The robustness and general application of the 14 HA-subtype methods were verified by the analysis of 110 AIV isolates belonging to all 16 HA-subtypes, performed in different laboratories. The developed real-time  RT-PCR assays proved to be highly specific and revealed suitable sensitivity, allowing direct HA-subtyping of clinical material. In summary, this study provides for the first time a panel of molecular tests using specific hydrolysis  probes for rapid and complete AIV HA-subtype identification.  Copyright © 2013 Elsevier B.V. All rights reserved.  DOI: 10.1016/j.jviromet.2013.10.031 	24184949
287. Vet Res. 2013 Oct 7;44:96. doi: 10.1186/1297-9716-44-96.	 The new French 2010 Rabbit Hemorrhagic Disease Virus causes an RHD-like disease in the Sardinian Cape hare (Lepus capensis mediterraneus).  Puggioni G(1), Cavadini P, Maestrale C, Scivoli R, Botti G, Ligios C, Le Gall-Reculé G, Lavazza A, Capucci L.  Author information:  (1)Istituto Zooprofilattico Sperimentale della Lombardia ed Emilia Romagna, OIE Reference Laboratory for RHD, via Bianchi 9, 25124 Brescia, Italy. lorenzo.capucci@izsler.it.  Lagovirus is an emerging genus of Caliciviridae, which includes the Rabbit Hemorrhagic Disease Virus (RHDV) of rabbits and the European brown hare syndrome  virus (EBHSV) of hares that cause lethal hepatitis. In 2010, a new RHDV related virus (RHDV2) with a unique genetic and antigenic profile and lower virulence was identified in France in rabbits. Here we report the identification of RHDV2 as the cause in Sardinia of several outbreaks of acute hepatitis in rabbits and Cape hare (Lepus capensis mediterraneus). This is the first account of a lagovirus that causes fatal hepatitis in both rabbits and hares.  DOI: 10.1186/1297-9716-44-96  PMCID: PMC3853023	24099575
288. Genome Announc. 2013 Oct 3;1(5). pii: e00778-13. doi: 10.1128/genomeA.00778-13.	 Full-Genome Sequence of a Reassortant H1N1 Swine Influenza Virus Isolated from Pigs in Italy.  Chiapponi C(1), Baioni L, Luppi A, Moreno A, Castellan A, Foni E.  Author information:  (1)OIE Reference Laboratory for Swine Influenza, Istituto Zooprofilattico Sperimentale della Lombardia ed Emilia Romagna, Parma, Italy.  In this study, the full-genome sequence of a novel reassortant H1N1 swine influenza virus (SIV) is reported. The isolate has a hemagglutinin (HA) gene of the pandemic H1N1 influenza virus, but it carries the seven genome segments of the avian-origin H1N1 SIV currently circulating in European pig farms.  DOI: 10.1128/genomeA.00778-13  PMCID: PMC3790085	24092781
289. J Math Biol. 2014 Oct;69(4):1001-25. doi: 10.1007/s00285-013-0726-y. Epub 2013	Sep 22.  React or wait: which optimal culling strategy to control infectious diseases in wildlife.  Bolzoni L(1), Tessoni V, Groppi M, De Leo GA.  Author information:  (1)Istituto Zooprofilattico Sperimentale della Lombardia e dell'Emilia Romagna, Via dei Mercati 13, 43100 , Parma, Italy, luca.bolzoni@izsler.it.  We applied optimal control theory to an SI epidemic model to identify optimal culling strategies for diseases management in wildlife. We focused on different forms of the objective function, including linear control, quadratic control, and control with limited amount of resources. Moreover, we identified optimal solutions under different assumptions on disease-free host dynamics, namely: self-regulating logistic growth, Malthusian growth, and the case of negligible demography. We showed that the correct characterization of the disease-free host  growth is crucial for defining optimal disease control strategies. By analytical  investigations of the model with negligible demography, we demonstrated that the  optimal strategy for the linear control can be either to cull at the maximum rate at the very beginning of the epidemic (reactive culling) when the culling cost is low, or never to cull, when culling cost is high. On the other hand, in the cases of quadratic control or limited resources, we demonstrated that the optimal strategy is always reactive. Numerical analyses for hosts with logistic growth showed that, in the case of linear control, the optimal strategy is always reactive when culling cost is low. In contrast, if the culling cost is high, the  optimal strategy is to delay control, i.e. not to cull at the onset of the epidemic. Finally, we showed that for diseases with the same basic reproduction number delayed control can be optimal for acute infections, i.e. characterized by high disease-induced mortality and fast dynamics, while reactive control can be optimal for chronic ones.  DOI: 10.1007/s00285-013-0726-y 	24057080
290. Vet Pathol. 2014 Jul;51(4):809-11. doi: 10.1177/0300985813503566. Epub 2013 Sep	10.  Malakoplakia with digestive tract involvement in a pig.  Gelmetti D(1), Gibelli L(2), Gelmini L(2), Sironi G(3).  Author information:  (1)Istituto Zooprofilattico Sperimentale della Lombardia e dell'Emilia Romagna, Brescia, Italy daniela.gelmetti@izsler.it. (2)Istituto Zooprofilattico Sperimentale della Lombardia e dell'Emilia Romagna, Brescia, Italy. (3)Dipartimento di Scienze Veterinarie e Sanità Pubblica, School of Veterinary Medicine, University of Milan, Italy.  Malakoplakia is a rare, granulomatous, inflammatory disease that mimics malignant tumors and can affect any organ. Herein is described a case of malakoplakia in a  10-month-old slaughter pig. Diffuse, pleomorphic, round cell infiltrates, mainly  histiocytes, with a tumor-like growth pattern at gross examination, infiltrated the stomach, pancreas, omentum, and mesenteric lymph nodes. The histiocytes and multinucleated giant cells had concentric, target-like inclusions known as Michaelis-Gutmann bodies. Microorganisms were not detected by the periodic acid-Schiff reaction, Ziehl-Neelsen, Gram, and Warthin-Starry staining or by electron microscopic and bacteriologic investigations. Porcine circovirus type 2  and porcine reproductive and respiratory syndrome viruses were not detected by immunohistochemistry in the sections examined.  © The Author(s) 2013.  DOI: 10.1177/0300985813503566 	24021559
291. Transbound Emerg Dis. 2015 Feb;62(1):67-71. doi: 10.1111/tbed.12081. Epub 2013	Mar 21.  Antimicrobial resistance of F4+ Escherichia coli isolated from Swine in Italy.  Luppi A(1), Bonilauri P, Dottori M, Gherpelli Y, Biasi G, Merialdi G, Maioli G, Martelli P.  Author information:  (1)Istituto Zooprofilattico Sperimentale della Lombardia e dell'Emilia Romagna (IZSLER), Brescia, Italy.  Four-hundred and forty-two F4+ pathogenic Escherichia coli were isolated in a period of 10 years (2002-2011), from pigs that were suffering from diarrhoea belonging to Italian swine herds. The strains were analysed for their susceptibility to 12 antimicrobials using the disc diffusion method. During the study period, a statistically significant proportion of isolates resistant to enrofloxacin (14.5-89.3%), marbofloxacin (5.4-60.7%), flumequine (49.1-92.9%), danofloxacin (21.6-80%), florfenicol (9.8-64.3%), thiamphenicol (50-92%) and cefquinome (3.8-44%) was recorded. An increase in resistance (not statistically significant) to gentamicin (63.6-85.7%), apramycin (61.8-82.1%), trimethoprim-sulphamethoxazole (75-89.3%), tetracycline (97-100%) and erythromycin (92.4-100%) was also observed. Based on antimicrobial multiresistance, the strains were collected into three groups: I. resistant to 2-5 antimicrobials; II. resistant to 6-8 antimicrobials; III. resistant to 9-12 antimicrobials. The number of isolates belonging to the first group showed a statistically significant decrease (P < 0.05; R(2)  = 0.896; r = -0.9608), while  the isolates belonging to the second and third groups showed a statistically significant increase in resistance (P < 0.05; R(2)  = 0.753; r = 0.8890 and P < 0.05; R(2)  = 0.727; r = 0.8701, respectively) over the period of study. The  results of this study suggest the need for continued monitoring of the development of resistance.  © 2013 Blackwell Verlag GmbH.  DOI: 10.1111/tbed.12081 	23906344
292. J Forensic Sci. 2013 Nov;58(6):1554-7. doi: 10.1111/1556-4029.12199. Epub 2013	Jul 30.  Effect of temperature on six different developmental landmarks within the pupal stage of the forensically important blowfly Calliphora vicina (Robineau-Desvoidy) (Diptera: Calliphoridae).  Defilippo F(1), Bonilauri P, Dottori M.  Author information:  (1)Laboratorio di Entomologia Sanitaria, Istituto Zooprofilattico Sperimentale della Lombardia ed Emilia-Romagna, Via Pitagora 2, 42100, Reggio Emilia, Italy.  This study investigates the pupal development times of the blow fly Calliphora vicina, which were studied in the laboratory at six different constant temperatures (15, 20, 23, 25, 28, and 30°C each ± 1°C). Lower thresholds (tL ) for development were estimated from the linear regression of the developmental rates on each temperature. These data have made it possible to calculate the accumulated degree days (ADD) necessary for C. vicina to complete the larval stage and to achieve adult emergence. The minimal duration of development from oviposition to adult emergence was found to be inversely related to temperature.  Additionally, six landmarks in pupal development are showed, and for each of the  landmarks, the ADD value was calculated for every rearing temperature involved. These data assist in calculating the duration of the pupal stage based on morphological characteristics and would be of great value for future forensic entomological casework.  © 2013 American Academy of Forensic Sciences.  DOI: 10.1111/1556-4029.12199 	23899305
293. J Interferon Cytokine Res. 2013 Oct;33(10):597-605. doi: 10.1089/jir.2012.0127.	Epub 2013 Jun 18.  IPEC-J2 cells as reporter system of the anti-inflammatory control actions of interferon-alpha.  Razzuoli E(1), Villa R, Amadori M.  Author information:  (1)Laboratory of Cellular Immunology, Istituto Zooprofilattico Sperimentale della Lombardia e dell'Emilia-Romagna , Brescia, Italy .  Interferon-alpha (IFN-α) shows potent immunomodulatory properties, which underlies its use for low-dose oral treatments of diverse viral infections and immunopathological conditions. The studies on oral administration have been hampered by the lack of recognized in vitro models, reproducing the in vivo control action of IFN-α over inflammatory cytokine responses. Owing to these reasons, the aim of our study was to validate IPEC-J2 (a continuous cell line of  porcine intestinal epithelial cells) as a reporter system of the properties of IFN-α. Three different experimental conditions (oxidative stress, inflammatory response, and amplification of lymphoid cell signals) were selected to evaluate the effects of porcine recombinant IFN-α1 (rIFN-α) and 2 natural porcine IFN-α preparations (nIFN-α). The IFNs under study showed significantly different control actions in IPEC-J2 cells. In particular, rIFN-α was shown to down-regulate interleukin (IL)-8, IL-1β, tumor necrosis factor (TNF)-α, and β-defensin 1 genes either directly, or indirectly through second messengers released by IFN-α-treated lymphoid cells. With regard to IL-6, only second messengers from IFN-α-treated lymphoid cells could regulate the expression of this cytokine. Our results suggest that IPEC-J2 cells can be a useful tool for investigating the regulatory actions of type I IFNs and the second messengers thereof. The results provided by this model could be conveniently exploited in studies on enteric diseases sustained by infectious or noninfectious stressors.  DOI: 10.1089/jir.2012.0127  PMCID: PMC3793657	23777203
294. Vaccine. 2013 Aug 12;31(36):3695-701. doi: 10.1016/j.vaccine.2013.05.105. Epub	2013 Jun 13.  Attenuated Salmonella enterica serovar Typhimurium lacking the ZnuABC transporter: an efficacious orally-administered mucosal vaccine against salmonellosis in pigs.  Gradassi M(1), Pesciaroli M, Martinelli N, Ruggeri J, Petrucci P, Hassan WH, Raffatellu M, Scaglione FE, Ammendola S, Battistoni A, Alborali GL, Pasquali P.  Author information:  (1)Istituto Zooprofilattico Sperimentale della Lombardia e dell'Emilia Romagna, 25124 Brescia, Italy.  We have recently demonstrated that an attenuated strain of Salmonella enterica serovar Typhimurium unable to synthesize the zinc transporter ZnuABC (S. Typhimurium ΔznuABC), is able to protect mice against systemic and enteric salmonellosis and is safe in pigs. Here, we have tested the protective effects of S. Typhimurium ΔznuABC in pigs. Resistance to challenge with the fully virulent strain S. Typhimurium ATCC 14028 was assessed in animals vaccinated with S. Typhimurium ΔznuABC (two dosages tested), in controls vaccinated with a formalin-inactivated virulent strain and in unvaccinated controls. Clinical signs of salmonellosis, faecal shedding and bacterial colonization of organs were used  to assess vaccine-induced protection. After the challenge, pigs vaccinated with the attenuated S. Typhimurium ΔznuABC strain did not display clinical signs of salmonellosis (fever or diarrhoea). The vaccine also reduced intestinal tract colonization and faecal shedding of the fully virulent Salmonella strain, as compared to control groups. S. Typhimurium ΔznuABC represents a promising candidate vaccine against salmonellosis in pigs.  Copyright © 2013 Elsevier Ltd. All rights reserved.  DOI: 10.1016/j.vaccine.2013.05.105  PMCID: PMC3880306	23770333
295. Res Vet Sci. 2013 Oct;95(2):576-9. doi: 10.1016/j.rvsc.2013.05.008. Epub 2013 Jun	14.  Mycoplasma bovis infection in respiratory disease of dairy calves less than one month old.  Giovannini S(1), Zanoni MG, Salogni C, Cinotti S, Alborali GL.  Author information:  (1)Istituto Zooprofilattico Sperimentale della Lombardia e dell'Emilia Romagna, Via Antonio Bianchi 9, Brescia, Italy. stefano.giovannini@izsler.it  Mycoplasma bovis is an important cause of bovine respiratory disease, especially  in young calves where it can also cause arthritis, tenosynovitis and otitis. During 2009 and 2010 a survey was carried out on carcasses of calves less than one month old sent to the Diagnostic Laboratory of the Istituto Zooprofilattico Sperimentale della Lombardia e dell'Emilia Romagna in Brescia, regardless of the  presence of lung lesions, to detect this pathogen. PCR tests for Mycoplasma spp.  and M. bovis were applied. 83 out of 224 (37%) lung tissue samples examined were  positive at PCR test for Mycoplasma spp.; in 64 cases of these we observed typical respiratory lesions (P<0.001). M. bovis was identified in 26 out of 83 (31%) lung tissue samples positive at PCR test for Mycoplasma spp.; in 24 cases of these we observed typical respiratory lesions (P=0.039). Our data demonstrate  that presence of Mycoplasma spp. and M. bovis positively correlates with pneumonic lung lesions in young dairy calves.  Copyright © 2013 Elsevier Ltd. All rights reserved.  DOI: 10.1016/j.rvsc.2013.05.008 	23752141
296. Vet Rec. 2013 Jun 29;172(26):687. doi: 10.1136/vr.101423. Epub 2013 May 25.	 Occurrence of Coxiella burnetii in bulk tank milk from northwestern Italy.  Vicari N(1), Faccini S, Ricchi M, Garbarino C, Decastelli L, Boldini M, Rosignoli C, Dalmasso A, Bronzo V, Fabbi M.  Author information:  (1)Pavia Department, Istituto Zooprofilattico Sperimentale della Lombardia e dell'Emilia-Romagna Bruno Ubertini, Pavia 27100, Italy. nadia.vicari@izsler.it  DOI: 10.1136/vr.101423 	23709093
297. Acta Vet Scand. 2013 May 21;55:42. doi: 10.1186/1751-0147-55-42.	 Salmonella serotypes in wild boars (Sus scrofa) hunted in northern Italy.  Chiari M(1), Zanoni M, Tagliabue S, Lavazza A, Alborali LG.  Author information:  (1)Central Diagnostic Laboratory, Istituto Zooprofilattico Sperimentale della Lombardia e dell'Emilia Romagna [IZSLER], Bruno Ubertini, Via Bianchi 7/9, Brescia 25124, Italy. mario.chiari@izsler.it  BACKGROUND: Salmonella species (spp.) are zoonotic enteric bacteria able to infect humans, livestock and wildlife.However, little is known about the prevalence and the presence of the different serovars in wildlife. Considering the wide distribution of wild boars and the feeding behaviour (omnivorous scavengers), wild boars may be a good indicator for environmental presence of Salmonella spp. The aims of this study were to determine the presence of Salmonella spp. in hunted wild boars and to determine the serotype the isolated strains. FINDINGS: Over three hunting seasons, the intestinal contents of 1,313 boars hunted in northern Italy were sampled and cultured. Salmonella spp. were isolated from 326 boars (24.82%). Thirty different serovars belonging to three different S. enterica spp. were found. Twenty-one serovars of S. enterica subsp. Enterica were found including the human pathogens S. Typhimurium and S. Enteritidis. In addition, nine serovars belonging to S.enterica subsp. diarizonae and S. enterica subsp. houtenae were detected. CONCLUSIONS: Considering the widespread occurrence of wild boars in Europe, the epidemiological role of this species in relation to salmonellosis might be relevant and should be further investigated. Wild boars may act as healthy carriers of a wide range of Salmonella serotypes.  DOI: 10.1186/1751-0147-55-42  PMCID: PMC3669099	23692883
298. PLoS One. 2013 May 7;8(5):e63978. doi: 10.1371/journal.pone.0063978. Print 2013.	 Usutu virus persistence and West Nile virus inactivity in the Emilia-Romagna region (Italy) in 2011.  Calzolari M(1), Bonilauri P, Bellini R, Albieri A, Defilippo F, Tamba M, Tassinari M, Gelati A, Cordioli P, Angelini P, Dottori M.  Author information:  (1)Istituto Zooprofilattico Sperimentale della Lombardia e dell'Emilia Romagna B. Ubertini (IZSLER), Brescia, Italy. mattia.calzolari@izsler.it  BACKGROUND: The circulation of West Nile virus and Usutu virus was detected in the Emilia-Romagna region in 2008 and 2009. To evaluate the extent of circulation of both viruses, environmental surveillance, based on bird and mosquito testing,  was conducted in 2008 and gradually improved over the years. METHODS: In February-March 2009-2011, 5,993 hibernating mosquitoes were manually  sampled, out of which 80.1% were Culex pipiens; none tested positive for the viruses. From 2008 to 2011, 946,213 mosquitoes, sampled between May and October,  were tested; 86.5% were Cx. pipiens. West Nile virus was detected in 32 Cx. pipiens pools, and Usutu virus was detected in 229 mosquito pools (217 Cx. pipiens, 10 Aedes albopictus, one Anopheles maculipennis s.l., and one Aedes caspius). From 2009 to 2011, of 4,546 birds collected, 42 tested positive for West Nile virus and 48 for Usutu virus. West Nile virus and Usutu virus showed different patterns of activity during the 2008-2011 surveillance period. West Nile virus was detected in 2008, 2009, and 2010, but not in 2011. Usutu virus, however, was continuously active throughout 2009, 2010, and 2011. CONCLUSIONS: The data strongly suggest that both viruses overwinter in the surveyed area rather than being continually reintroduced every season. The lack of hibernating mosquitoes testing positive for the viruses and the presence of positive birds sampled early in the season support the hypothesis that the viruses overwinter in birds rather than in mosquitoes. Herd immunity in key bird  species could explain the decline of West Nile virus observed in 2011, while the  persistence of Usutu virus may be explained by not yet identified reservoirs. Reported results are comparable with a peri-Mediterranean circulation of the West Nile virus lineage 1 related strain, which became undetectable in the environment after two to three years of obvious circulation.  DOI: 10.1371/journal.pone.0063978  PMCID: PMC3646878	23667694
299. PLoS One. 2013 May 7;8(5):e62878. doi: 10.1371/journal.pone.0062878. Print 2013.	 Spatial transmission of Swine Vesicular Disease virus in the 2006-2007 epidemic in Lombardy.  Nassuato C(1), Boender GJ, Eblé PL, Alborali L, Bellini S, Hagenaars TJ.  Author information:  (1)Istituto Zooprofilattico Sperimentale della Lombardia e dell'Emilia Romagna (IZSLER), Brescia, Italy.  In 2006 and 2007 pig farming in the region of Lombardy, in the north of Italy, was struck by an epidemic of Swine Vesicular Disease virus (SVDV). In fact this epidemic could be viewed as consisting of two sub-epidemics, as the reported outbreaks occurred in two separate time periods. These periods differed in terms  of the provinces or municipalities that were affected and also in terms of the timing of implementation of movement restrictions. Here we use a simple mathematical model to analyse the epidemic data, quantifying between-farm transmission probability as a function of between-farm distance. The results show that the distance dependence of between-farm transmission differs between the two periods. In the first period transmission over relatively long distances occurred with higher probability than in the second period, reflecting the effect of movement restrictions in the second period. In the second period however, more intensive transmission occurred over relatively short distances. Our model analysis explains this in terms of the relatively high density of pig farms in the area most affected in this period, which exceeds a critical farm density for  between-farm transmission. This latter result supports the rationale for the additional control measure taken in 2007 of pre-emptively culling farms in that area.  DOI: 10.1371/journal.pone.0062878  PMCID: PMC3647039	23667534
300. Res Vet Sci. 2013 Oct;95(2):430-3. doi: 10.1016/j.rvsc.2013.04.019. Epub 2013 May	9.  Tuberculosis transmission by Mycobacterium bovis in a mixed cattle and goat herd.  Zanardi G(1), Boniotti MB, Gaffuri A, Casto B, Zanoni M, Pacciarini ML.  Author information:  (1)Istituto Zooprofilattico Sperimentale della Lombardia ed Emilia Romagna, Via Bianchi 9, Brescia, Italy. giorgio.zanardi@izsler.it  A tuberculosis (TB) outbreak caused by Mycobacterium bovis occurred in a mixed herd of three cattle and eighteen goats in Northern Italy in 2005. All the cattle were removed, as opposed to the co-existing goats, who remained in the farm and were not subsequently tested by the official intradermal tuberculin test. At the  beginning of May 2006, a 7-day old calf was introduced into the herd from an officially TB-free (OTF) farm. On October 2006, tuberculous lesions were detected at the slaughterhouse in the same animal. The following epidemiological investigation on the herd highlighted a clinical suspicion of TB in one goat out  of 35, and visible lesions were found at necropsy in the respiratory and intestinal tracts. Bacteriological culture and molecular tests confirmed the presence of M. bovis in both animals. Spoligotyping and Mycobacterial Interspersed Repetitive Units - Variable Number of Tandem Repeats (MIRU-VNTR) showed the same genomic profile of the previous breakdown occurred in 2005. Since this profile has never been described in Italy, these findings suggest the probable transmission of TB within the farm among cattle and goats. The remaining 34 goats were also tested by single intradermal cervical comparative tuberculin (SICCT) test, Interferon (IFN)-γ assay and ELISA for antibody to M. bovis. The SICCT test and the IFN-γ showed a good concordance with 20 and 19 positive reactors, respectively. By ELISA we found 12Ab-positive animals, seven of which had not been detected by the tests for cell-mediated immunity. Finally, 15 goats  were found positive for gross lesions at necropsy. The in vivo tests revealed a total of 27 positive animals out of 35, which highlights the usefulness of the serology in parallel with SICCT and IFN-γ when an advanced stage of infection is  suspected. Moreover, our results confirm the necessity for adopting the official  tuberculin test on goats co-existing with cattle.  Copyright © 2013. Published by Elsevier India Pvt Ltd.  DOI: 10.1016/j.rvsc.2013.04.019 	23664181
301. Foodborne Pathog Dis. 2013 Jun;10(6):533-9. doi: 10.1089/fpd.2012.1399. Epub 2013	May 2.  Noroviruses in seafood: a 9-year monitoring in Italy.  Pavoni E(1), Consoli M, Suffredini E, Arcangeli G, Serracca L, Battistini R, Rossini I, Croci L, Losio MN.  Author information:  (1)Department of Food Microbiology, Istituto Zooprofilattico Sperimentale della Lombardia e dell'Emilia Romagna, Brescia, Italy. enrico.pavoni@izsler.it  Norovirus (NoV) are increasingly important as etiological agents of gastrointestinal infections. Consumption of bivalve molluscs and ready-to-eat fishery products is one of the most common ways of acquiring NoV foodborne infections, and the rise of outbreaks of viral gastroenteritis represents an important health problem that is also responsible for economic losses. The aim of this work was to define the prevalence of NoV contamination in preserved fishery  products and in shellfish commercialized in Italy, taking into account the results obtained during 9 years of survey (2003-2011) and paying special attention to the regions more involved in national production. A total of 4463 samples were examined (2310 mussels, 1517 clams, 510 oysters, 22 other shellfish  species, 104 preserved seafood products) and the average positivity rate for NoV  presence was 4.1% and ranged from 0.6% in 2007 to 9.8% in 2003 and from 1.9% in preserved seafood products to 4.7% in mussels. Genetic characterization of circulating strains showed a prevalence of genogroup II genotypes, including GII.b and GII.e polymerase types and different GII.4 variants. This information could contribute to the optimization of risk-based sampling strategies for NoV contamination in seafood, taking into account variability in different species and from year to year.  DOI: 10.1089/fpd.2012.1399 	23638849
